Date,IRD
2024-04-02,11.360043570594
2024-04-03,11.363847265431
2024-04-04,11.3676522338629
2024-04-05,11.3714584763162
2024-04-08,11.3828848520713
2024-04-09,11.3866961948775
2024-04-10,11.3905088138395
2024-04-11,11.3943227093846
2024-04-12,11.3981378819401
2024-04-15,11.4095910659462
2024-04-16,11.4134113508209
2024-04-17,11.4172329148455
2024-04-18,11.4210557584482
2024-04-19,11.4248798820575
2024-04-22,11.4363599372114
2024-04-23,11.4401891851343
2024-04-24,11.4440197152082
2024-04-25,11.4478515278622
2024-04-26,11.451684623526
2024-04-29,11.4631916128721
2024-04-30,11.467029844872
2024-05-01,11.4668388167811
2024-05-02,11.4666476367498
2024-05-03,11.4664564599058
2024-05-06,11.4658829484981
2024-05-07,11.4656917844033
2024-05-08,11.4655006234958
2024-05-09,11.4653094657753
2024-05-10,11.4651183112419
2024-05-13,11.4645448667636
2024-05-14,11.4643537249779
2024-05-15,11.4641625863791
2024-05-16,11.463971450967
2024-05-17,11.4637803187415
2024-05-20,11.4632069411848
2024-05-21,11.4630158217056
2024-05-22,11.4628247054129
2024-05-23,11.4626335923065
2024-05-24,11.4624424823864
2024-05-27,11.4618691717435
2024-05-28,11.4616780745682
2024-05-29,11.4614869805789
2024-05-30,11.4612958897756
2024-05-31,11.4611048021583
2024-06-03,11.460059979738
2024-06-04,11.45971332729
2024-06-05,11.4593666853278
2024-06-06,11.459020053851
2024-06-07,11.4586734328595
2024-06-10,11.4576336327927
2024-06-11,11.4572870537386
2024-06-12,11.4569404851681
2024-06-13,11.4565939270809
2024-06-14,11.4562473794766
2024-06-17,11.4552077995584
2024-06-18,11.4548612938827
2024-06-19,11.4545147986885
2024-06-20,11.4541683139752
2024-06-21,11.4538218397427
2024-06-24,11.4527824799264
2024-06-25,11.4524360476136
2024-06-26,11.45208962578
2024-06-27,11.4517432144252
2024-06-28,11.4513968135489
2024-07-01,11.45115
2024-07-02,11.4516
2024-07-03,11.45205
2024-07-04,11.4525
2024-07-05,11.45295
2024-07-08,11.4543
2024-07-09,11.45475
2024-07-10,11.4552
2024-07-11,11.45564
2024-07-12,11.45609
2024-07-15,11.45744
2024-07-16,11.45789
2024-07-17,11.45834
2024-07-18,11.45879
2024-07-19,11.45924
2024-07-22,11.46059
2024-07-23,11.46104
2024-07-24,11.46149
2024-07-25,11.46194
2024-07-26,11.46239
2024-07-29,11.46374
2024-07-30,11.46419
2024-07-31,11.46464
2024-08-01,11.465512496423
2024-08-02,11.4663850592459
2024-08-05,11.4690031461639
2024-08-06,11.4698759746366
2024-08-07,11.4707488695343
2024-08-08,11.4716218308622
2024-08-09,11.4724948586253
2024-08-12,11.4751143405763
2024-08-13,11.4759876341308
2024-08-14,11.4768609941457
2024-08-15,11.4777344206262
2024-08-16,11.4786079135773
2024-08-19,11.4812287913047
2024-08-20,11.4821025501887
2024-08-21,11.4829763755687
2024-08-22,11.4838502674496
2024-08-23,11.4847242258365
2024-08-26,11.487346500084
2024-08-27,11.4882207245456
2024-08-28,11.4890950155385
2024-08-29,11.4899693730679
2024-08-30,11.4908437971386
2024-09-02,11.493894795244
2024-09-03,11.4949823472028
2024-09-04,11.4960700020656
2024-09-05,11.4971577598424
2024-09-06,11.4982456205427
2024-09-09,11.5015098202828
2024-09-10,11.502598092775
2024-09-11,11.5036864682394
2024-09-12,11.504774946686
2024-09-13,11.5058635281243
2024-09-16,11.5091298904875
2024-09-17,11.5102188839905
2024-09-18,11.5113079805339
2024-09-19,11.5123971801277
2024-09-20,11.5134864827815
2024-09-23,11.5167550092007
2024-09-24,11.5178447241921
2024-09-25,11.5189345422924
2024-09-26,11.5200244635112
2024-09-27,11.5211144878583
2024-09-30,11.5243851797671
2024-10-01,11.5235058414626
2024-10-02,11.5226217507584
2024-10-03,11.5217377278822
2024-10-04,11.5208537728289
2024-10-07,11.5182023145534
2024-10-08,11.5173186307392
2024-10-09,11.5164350147218
2024-10-10,11.5155514664959
2024-10-11,11.5146679860564
2024-10-14,11.5120179514043
2024-10-15,11.5111347420584
2024-10-16,11.5102516004728
2024-10-17,11.5093685266424
2024-10-18,11.508485520562
2024-10-21,11.5058369087688
2024-10-22,11.5049541736364
2024-10-23,11.5040715062279
2024-10-24,11.5031889065383
2024-10-25,11.5023063745623
2024-10-28,11.499659184864
2024-10-29,11.4987769236905
2024-10-30,11.4978947302046
2024-10-31,11.4970126044012
2024-11-01,11.4966530352949
2024-11-04,11.4955822076776
2024-11-05,11.4952252873034
2024-11-06,11.4948683780109
2024-11-07,11.4945114798
2024-11-08,11.4941545926702
2024-11-11,11.4930839977642
2024-11-12,11.4927271549555
2024-11-13,11.4923703232263
2024-11-14,11.4920135025762
2024-11-15,11.4916566930048
2024-11-18,11.4905863307595
2024-11-19,11.4902295654996
2024-11-20,11.4898728113168
2024-11-21,11.4895160682106
2024-11-22,11.4891593361807
2024-11-25,11.4880892065457
2024-11-26,11.4877325188177
2024-11-27,11.4873758421644
2024-11-28,11.4870191765853
2024-11-29,11.4866625220801
2024-12-02,11.4870074161261
2024-12-03,11.4873561400684
2024-12-04,11.4877048745973
2024-12-05,11.4880536197131
2024-12-06,11.4884023754162
2024-12-09,11.4894487060521
2024-12-10,11.4897975041074
2024-12-11,11.4901463127515
2024-12-12,11.4904951319848
2024-12-13,11.4908439618076
2024-12-16,11.4918905148162
2024-12-17,11.4922393870002
2024-12-18,11.4925882697753
2024-12-19,11.4929371631418
2024-12-20,11.4932860671001
2024-12-23,11.4943328425286
2024-12-24,11.4946817888571
2024-12-25,11.4950307457789
2024-12-26,11.4953797132944
2024-12-27,11.4957286914039
2024-12-30,11.4967756892996
2024-12-31,11.4971247097883
2025-01-01,11.4975116957769
2025-01-02,11.4979034048984
2025-01-03,11.4982951273652
2025-01-06,11.4994703748408
2025-01-07,11.4998621506926
2025-01-08,11.5002539398919
2025-01-09,11.5006457424391
2025-01-10,11.5010375583346
2025-01-13,11.5022130861157
2025-01-14,11.5026049554091
2025-01-15,11.5029968380531
2025-01-16,11.5033887340481
2025-01-17,11.5037806433947
2025-01-20,11.5049564515481
2025-01-21,11.5053484143054
2025-01-22,11.5057403904163
2025-01-23,11.5061323798816
2025-01-24,11.5065243827015
2025-01-27,11.5077004712942
2025-01-28,11.5080925275375
2025-01-29,11.5084845971378
2025-01-30,11.5088766800955
2025-01-31,11.5092687764111
2025-02-03,11.5081187834712
2025-02-04,11.5077350702179
2025-02-05,11.5073513697586
2025-02-06,11.506967682093
2025-02-07,11.5065840072207
2025-02-10,11.5054330593587
2025-02-11,11.505049435655
2025-02-12,11.5046658247424
2025-02-13,11.5042822266205
2025-02-14,11.5038986412888
2025-02-17,11.502747962031
2025-02-18,11.5023644278561
2025-02-19,11.5019809064692
2025-02-20,11.5015973978701
2025-02-21,11.5012139020582
2025-02-24,11.5000634913419
2025-02-25,11.4996800466748
2025-02-26,11.4992966147928
2025-02-27,11.4989131956955
2025-02-28,11.4985297893826
2025-03-03,11.5006203509262
2025-03-04,11.5013172190118
2025-03-05,11.5020141293233
2025-03-06,11.5027110818634
2025-03-07,11.5034080766346
2025-03-10,11.5054993143605
2025-03-11,11.5061964780817
2025-03-12,11.5068936840468
2025-03-13,11.5075909322585
2025-03-14,11.5082882227191
2025-03-17,11.5103803476208
2025-03-18,11.5110778071031
2025-03-19,11.5117753088473
2025-03-20,11.5124728528559
2025-03-21,11.5131704391314
2025-03-24,11.5152634515853
2025-03-25,11.5159612069542
2025-03-26,11.5166590046029
2025-03-27,11.517356844534
2025-03-28,11.5180547267499
2025-03-31,11.5201486271325
2025-04-01,11.5232489344518
2025-04-02,11.5263487025208
2025-04-03,11.5294493044312
2025-04-04,11.5325507404074
2025-04-07,11.5418600549739
2025-04-08,11.5449648294571
2025-04-09,11.5480704391284
2025-04-10,11.5511768842126
2025-04-11,11.5542841649343
2025-04-14,11.5636110231726
2025-04-15,11.5667216486929
2025-04-16,11.5698331109752
2025-04-17,11.5729454102448
2025-04-18,11.5760585467266
2025-04-21,11.5854029816983
2025-04-22,11.5885194692821
2025-04-23,11.5916367952049
2025-04-24,11.5947549596922
